[step6] device=cuda  epochs=100  seeds=[1, 2, 3]
[step6] num_concepts=108  num_classes=200
[step6][seed 1] epoch 1/100  loss=5.2208  cls=5.1544  concept=0.6636  train_acc=0.0326  val_loss=4.9481  val_cls=4.8709  val_concept=0.7719  val_acc=0.0745
[step6][seed 1] epoch 31/100  loss=0.2650  cls=0.1247  concept=1.4033  train_acc=0.9996  val_loss=1.1382  val_cls=1.0035  val_concept=1.3464  val_acc=0.7253
[step6][seed 1] epoch 32/100  loss=0.2540  cls=0.1156  concept=1.3842  train_acc=0.9994  val_loss=1.1366  val_cls=1.0049  val_concept=1.3165  val_acc=0.7297
[step6][seed 1] epoch 33/100  loss=0.2432  cls=0.1069  concept=1.3631  train_acc=0.9998  val_loss=1.1433  val_cls=1.0138  val_concept=1.2957  val_acc=0.7264
[step6][seed 1] epoch 34/100  loss=0.2384  cls=0.1040  concept=1.3436  train_acc=0.9996  val_loss=1.1405  val_cls=1.0134  val_concept=1.2708  val_acc=0.7241
[step6][seed 1] epoch 35/100  loss=0.2287  cls=0.0962  concept=1.3246  train_acc=0.9996  val_loss=1.1484  val_cls=1.0226  val_concept=1.2572  val_acc=0.7208
[step6][seed 1] epoch 36/100  loss=0.2232  cls=0.0926  concept=1.3061  train_acc=1.0000  val_loss=1.1388  val_cls=1.0153  val_concept=1.2357  val_acc=0.7264
[step6][seed 1] epoch 37/100  loss=0.2181  cls=0.0889  concept=1.2920  train_acc=0.9996  val_loss=1.1690  val_cls=1.0473  val_concept=1.2161  val_acc=0.7164
[step6][seed 1] epoch 38/100  loss=0.2127  cls=0.0850  concept=1.2775  train_acc=0.9998  val_loss=1.1484  val_cls=1.0269  val_concept=1.2149  val_acc=0.7286
[step6][seed 1] epoch 39/100  loss=0.2075  cls=0.0815  concept=1.2596  train_acc=1.0000  val_loss=1.1211  val_cls=1.0015  val_concept=1.1959  val_acc=0.7241
[step6][seed 1] epoch 40/100  loss=0.2015  cls=0.0772  concept=1.2432  train_acc=1.0000  val_loss=1.1314  val_cls=1.0136  val_concept=1.1775  val_acc=0.7186
[step6][seed 1] epoch 41/100  loss=0.1972  cls=0.0742  concept=1.2305  train_acc=1.0000  val_loss=1.1271  val_cls=1.0096  val_concept=1.1745  val_acc=0.7286
[step6][seed 1] epoch 42/100  loss=0.1949  cls=0.0733  concept=1.2164  train_acc=0.9998  val_loss=1.1212  val_cls=1.0049  val_concept=1.1633  val_acc=0.7308
[step6][seed 1] epoch 43/100  loss=0.1907  cls=0.0700  concept=1.2065  train_acc=1.0000  val_loss=1.1213  val_cls=1.0063  val_concept=1.1491  val_acc=0.7330
[step6][seed 1] epoch 44/100  loss=0.1872  cls=0.0680  concept=1.1920  train_acc=1.0000  val_loss=1.1407  val_cls=1.0267  val_concept=1.1395  val_acc=0.7241
[step6][seed 1] epoch 45/100  loss=0.1847  cls=0.0663  concept=1.1834  train_acc=1.0000  val_loss=1.1446  val_cls=1.0322  val_concept=1.1243  val_acc=0.7197
[step6][seed 1] epoch 46/100  loss=0.1824  cls=0.0652  concept=1.1717  train_acc=1.0000  val_loss=1.1409  val_cls=1.0285  val_concept=1.1231  val_acc=0.7353
[step6][seed 1] epoch 47/100  loss=0.1801  cls=0.0635  concept=1.1658  train_acc=1.0000  val_loss=1.1317  val_cls=1.0203  val_concept=1.1136  val_acc=0.7241
[step6][seed 1] epoch 48/100  loss=0.1771  cls=0.0617  concept=1.1538  train_acc=1.0000  val_loss=1.1300  val_cls=1.0196  val_concept=1.1045  val_acc=0.7275
[step6][seed 1] epoch 49/100  loss=0.1755  cls=0.0609  concept=1.1461  train_acc=1.0000  val_loss=1.1308  val_cls=1.0216  val_concept=1.0920  val_acc=0.7386
[step6][seed 1] epoch 50/100  loss=0.1724  cls=0.0586  concept=1.1383  train_acc=1.0000  val_loss=1.1433  val_cls=1.0351  val_concept=1.0817  val_acc=0.7353
[step6][seed 1] epoch 51/100  loss=0.1701  cls=0.0573  concept=1.1278  train_acc=1.0000  val_loss=1.1544  val_cls=1.0468  val_concept=1.0758  val_acc=0.7152
[step6][seed 1] epoch 52/100  loss=0.1693  cls=0.0570  concept=1.1224  train_acc=1.0000  val_loss=1.1376  val_cls=1.0307  val_concept=1.0688  val_acc=0.7330
[step6][seed 1] epoch 53/100  loss=0.1665  cls=0.0553  concept=1.1112  train_acc=1.0000  val_loss=1.1305  val_cls=1.0243  val_concept=1.0621  val_acc=0.7408
[step6][seed 1] epoch 54/100  loss=0.1652  cls=0.0546  concept=1.1063  train_acc=1.0000  val_loss=1.1151  val_cls=1.0096  val_concept=1.0557  val_acc=0.7308
[step6][seed 1] epoch 55/100  loss=0.1636  cls=0.0537  concept=1.0991  train_acc=1.0000  val_loss=1.1085  val_cls=1.0030  val_concept=1.0555  val_acc=0.7375
[step6][seed 1] epoch 56/100  loss=0.1623  cls=0.0530  concept=1.0931  train_acc=1.0000  val_loss=1.1285  val_cls=1.0233  val_concept=1.0521  val_acc=0.7364
[step6][seed 1] epoch 57/100  loss=0.1615  cls=0.0525  concept=1.0895  train_acc=1.0000  val_loss=1.1253  val_cls=1.0216  val_concept=1.0367  val_acc=0.7297
[step6][seed 1] epoch 58/100  loss=0.1595  cls=0.0514  concept=1.0818  train_acc=1.0000  val_loss=1.1495  val_cls=1.0459  val_concept=1.0365  val_acc=0.7297
[step6][seed 1] epoch 59/100  loss=0.1578  cls=0.0503  concept=1.0750  train_acc=1.0000  val_loss=1.1406  val_cls=1.0376  val_concept=1.0301  val_acc=0.7375
[step6][seed 1] epoch 60/100  loss=0.1563  cls=0.0492  concept=1.0717  train_acc=1.0000  val_loss=1.1324  val_cls=1.0306  val_concept=1.0185  val_acc=0.7341
[step6][seed 1] epoch 61/100  loss=0.1551  cls=0.0485  concept=1.0654  train_acc=1.0000  val_loss=1.1335  val_cls=1.0317  val_concept=1.0185  val_acc=0.7408
[step6][seed 1] epoch 62/100  loss=0.1547  cls=0.0488  concept=1.0589  train_acc=1.0000  val_loss=1.1433  val_cls=1.0421  val_concept=1.0128  val_acc=0.7364
[step6][seed 1] epoch 63/100  loss=0.1537  cls=0.0480  concept=1.0574  train_acc=1.0000  val_loss=1.1490  val_cls=1.0479  val_concept=1.0113  val_acc=0.7375
[step6][seed 1] epoch 64/100  loss=0.1524  cls=0.0471  concept=1.0530  train_acc=1.0000  val_loss=1.1461  val_cls=1.0459  val_concept=1.0022  val_acc=0.7408
[step6][seed 1] epoch 65/100  loss=0.1515  cls=0.0469  concept=1.0465  train_acc=1.0000  val_loss=1.1376  val_cls=1.0377  val_concept=0.9990  val_acc=0.7397
[step6][seed 1] epoch 66/100  loss=0.1500  cls=0.0457  concept=1.0431  train_acc=1.0000  val_loss=1.1383  val_cls=1.0388  val_concept=0.9948  val_acc=0.7486
[step6][seed 1] epoch 67/100  loss=0.1499  cls=0.0460  concept=1.0390  train_acc=1.0000  val_loss=1.1200  val_cls=1.0207  val_concept=0.9933  val_acc=0.7341
[step6][seed 1] epoch 68/100  loss=0.1486  cls=0.0450  concept=1.0355  train_acc=1.0000  val_loss=1.1258  val_cls=1.0266  val_concept=0.9916  val_acc=0.7453
[step6][seed 1] epoch 69/100  loss=0.1481  cls=0.0449  concept=1.0324  train_acc=1.0000  val_loss=1.1367  val_cls=1.0382  val_concept=0.9853  val_acc=0.7375
[step6][seed 1] epoch 70/100  loss=0.1471  cls=0.0441  concept=1.0305  train_acc=1.0000  val_loss=1.1470  val_cls=1.0483  val_concept=0.9868  val_acc=0.7430
[step6][seed 1] epoch 71/100  loss=0.1465  cls=0.0440  concept=1.0256  train_acc=1.0000  val_loss=1.1493  val_cls=1.0512  val_concept=0.9812  val_acc=0.7330
[step6][seed 1] epoch 72/100  loss=0.1452  cls=0.0428  concept=1.0240  train_acc=1.0000  val_loss=1.1472  val_cls=1.0500  val_concept=0.9715  val_acc=0.7442
[step6][seed 1] epoch 73/100  loss=0.1450  cls=0.0432  concept=1.0185  train_acc=1.0000  val_loss=1.1368  val_cls=1.0394  val_concept=0.9741  val_acc=0.7330
[step6][seed 1] epoch 74/100  loss=0.1447  cls=0.0429  concept=1.0180  train_acc=1.0000  val_loss=1.1544  val_cls=1.0575  val_concept=0.9694  val_acc=0.7308
[step6][seed 1] epoch 75/100  loss=0.1438  cls=0.0424  concept=1.0147  train_acc=1.0000  val_loss=1.1344  val_cls=1.0373  val_concept=0.9712  val_acc=0.7386
[step6][seed 1] epoch 76/100  loss=0.1432  cls=0.0418  concept=1.0137  train_acc=1.0000  val_loss=1.1497  val_cls=1.0532  val_concept=0.9651  val_acc=0.7386
[step6][seed 1] epoch 77/100  loss=0.1426  cls=0.0416  concept=1.0092  train_acc=1.0000  val_loss=1.1543  val_cls=1.0581  val_concept=0.9615  val_acc=0.7386
[step6][seed 1] epoch 78/100  loss=0.1427  cls=0.0420  concept=1.0066  train_acc=1.0000  val_loss=1.1486  val_cls=1.0523  val_concept=0.9625  val_acc=0.7419
[step6][seed 1] epoch 79/100  loss=0.1420  cls=0.0414  concept=1.0067  train_acc=1.0000  val_loss=1.1518  val_cls=1.0557  val_concept=0.9615  val_acc=0.7408
[step6][seed 1] epoch 80/100  loss=0.1413  cls=0.0409  concept=1.0041  train_acc=1.0000  val_loss=1.1449  val_cls=1.0488  val_concept=0.9609  val_acc=0.7430
[step6][seed 1] epoch 81/100  loss=0.1412  cls=0.0410  concept=1.0024  train_acc=1.0000  val_loss=1.1405  val_cls=1.0448  val_concept=0.9565  val_acc=0.7386
[step6][seed 1] epoch 82/100  loss=0.1402  cls=0.0402  concept=0.9998  train_acc=1.0000  val_loss=1.1512  val_cls=1.0558  val_concept=0.9538  val_acc=0.7519
[step6][seed 1] epoch 83/100  loss=0.1403  cls=0.0403  concept=0.9991  train_acc=1.0000  val_loss=1.1553  val_cls=1.0600  val_concept=0.9524  val_acc=0.7430
[step6][seed 1] epoch 84/100  loss=0.1403  cls=0.0407  concept=0.9967  train_acc=1.0000  val_loss=1.1524  val_cls=1.0572  val_concept=0.9514  val_acc=0.7442
[step6][seed 1] epoch 85/100  loss=0.1400  cls=0.0403  concept=0.9967  train_acc=1.0000  val_loss=1.1502  val_cls=1.0551  val_concept=0.9510  val_acc=0.7419
[step6][seed 1] epoch 86/100  loss=0.1393  cls=0.0398  concept=0.9954  train_acc=1.0000  val_loss=1.1527  val_cls=1.0580  val_concept=0.9474  val_acc=0.7442
[step6][seed 1] epoch 87/100  loss=0.1390  cls=0.0396  concept=0.9941  train_acc=1.0000  val_loss=1.1526  val_cls=1.0579  val_concept=0.9475  val_acc=0.7386
[step6][seed 1] epoch 88/100  loss=0.1393  cls=0.0400  concept=0.9928  train_acc=1.0000  val_loss=1.1492  val_cls=1.0544  val_concept=0.9478  val_acc=0.7419
[step6][seed 1] epoch 89/100  loss=0.1386  cls=0.0394  concept=0.9921  train_acc=1.0000  val_loss=1.1463  val_cls=1.0515  val_concept=0.9478  val_acc=0.7419
[step6][seed 1] epoch 90/100  loss=0.1388  cls=0.0396  concept=0.9917  train_acc=1.0000  val_loss=1.1522  val_cls=1.0576  val_concept=0.9458  val_acc=0.7408
[step6][seed 1] epoch 91/100  loss=0.1387  cls=0.0397  concept=0.9902  train_acc=1.0000  val_loss=1.1512  val_cls=1.0567  val_concept=0.9449  val_acc=0.7442
[step6][seed 1] epoch 92/100  loss=0.1384  cls=0.0392  concept=0.9913  train_acc=1.0000  val_loss=1.1542  val_cls=1.0597  val_concept=0.9448  val_acc=0.7408
[step6][seed 1] epoch 93/100  loss=0.1383  cls=0.0393  concept=0.9896  train_acc=1.0000  val_loss=1.1526  val_cls=1.0582  val_concept=0.9439  val_acc=0.7430
[step6][seed 1] epoch 94/100  loss=0.1383  cls=0.0393  concept=0.9899  train_acc=1.0000  val_loss=1.1503  val_cls=1.0559  val_concept=0.9441  val_acc=0.7419
[step6][seed 1] epoch 95/100  loss=0.1376  cls=0.0387  concept=0.9892  train_acc=1.0000  val_loss=1.1521  val_cls=1.0578  val_concept=0.9435  val_acc=0.7430
[step6][seed 1] epoch 96/100  loss=0.1378  cls=0.0389  concept=0.9888  train_acc=1.0000  val_loss=1.1511  val_cls=1.0567  val_concept=0.9441  val_acc=0.7453
[step6][seed 1] epoch 97/100  loss=0.1378  cls=0.0388  concept=0.9898  train_acc=1.0000  val_loss=1.1511  val_cls=1.0568  val_concept=0.9435  val_acc=0.7453
[step6][seed 1] epoch 98/100  loss=0.1379  cls=0.0391  concept=0.9880  train_acc=1.0000  val_loss=1.1510  val_cls=1.0566  val_concept=0.9436  val_acc=0.7430
[step6][seed 1] epoch 99/100  loss=0.1377  cls=0.0389  concept=0.9888  train_acc=1.0000  val_loss=1.1513  val_cls=1.0569  val_concept=0.9435  val_acc=0.7430
[step6][seed 1] epoch 100/100  loss=0.1376  cls=0.0386  concept=0.9896  train_acc=1.0000  val_loss=1.1513  val_cls=1.0569  val_concept=0.9435  val_acc=0.7430
[step6][seed 1] test top-1 accuracy = 0.7209
[step6][seed 1] saved checkpoint -> /home/cril/boulaabi/CLARITY/VisualCLARITY/outputs/checkpoints/globalcbm_seed1.pt
[step6][seed 2] epoch 1/100  loss=5.2159  cls=5.1511  concept=0.6479  train_acc=0.0338  val_loss=4.9348  val_cls=4.8577  val_concept=0.7709  val_acc=0.0534
[step6][seed 2] epoch 2/100  loss=4.5125  cls=4.4152  concept=0.9732  train_acc=0.1317  val_loss=4.1645  val_cls=4.0486  val_concept=1.1592  val_acc=0.1368
[step6][seed 2] epoch 3/100  loss=3.7381  cls=3.6090  concept=1.2914  train_acc=0.2469  val_loss=3.4808  val_cls=3.3403  val_concept=1.4057  val_acc=0.2647
[step6][seed 2] epoch 4/100  loss=3.1056  cls=2.9560  concept=1.4959  train_acc=0.3986  val_loss=2.9812  val_cls=2.8251  val_concept=1.5606  val_acc=0.3660
[step6][seed 2] epoch 5/100  loss=2.6345  cls=2.4718  concept=1.6272  train_acc=0.5076  val_loss=2.6231  val_cls=2.4554  val_concept=1.6769  val_acc=0.4583
[step6][seed 2] epoch 6/100  loss=2.2644  cls=2.0935  concept=1.7085  train_acc=0.6094  val_loss=2.3385  val_cls=2.1692  val_concept=1.6933  val_acc=0.5217
[step6][seed 2] epoch 7/100  loss=1.9780  cls=1.8033  concept=1.7479  train_acc=0.6763  val_loss=2.0997  val_cls=1.9239  val_concept=1.7579  val_acc=0.5473
[step6][seed 2] epoch 8/100  loss=1.7396  cls=1.5618  concept=1.7788  train_acc=0.7250  val_loss=1.9430  val_cls=1.7688  val_concept=1.7425  val_acc=0.5628
[step6][seed 2] epoch 9/100  loss=1.5516  cls=1.3727  concept=1.7891  train_acc=0.7710  val_loss=1.8228  val_cls=1.6474  val_concept=1.7543  val_acc=0.5862
[step6][seed 2] epoch 10/100  loss=1.3805  cls=1.2010  concept=1.7943  train_acc=0.8149  val_loss=1.6888  val_cls=1.5124  val_concept=1.7632  val_acc=0.6329
[step6][seed 2] epoch 11/100  loss=1.2344  cls=1.0550  concept=1.7942  train_acc=0.8499  val_loss=1.5832  val_cls=1.4083  val_concept=1.7493  val_acc=0.6663
[step6][seed 2] epoch 12/100  loss=1.1144  cls=0.9358  concept=1.7859  train_acc=0.8669  val_loss=1.5146  val_cls=1.3409  val_concept=1.7369  val_acc=0.6563
[step6][seed 2] epoch 13/100  loss=1.0018  cls=0.8241  concept=1.7769  train_acc=0.8983  val_loss=1.4764  val_cls=1.3037  val_concept=1.7273  val_acc=0.6707
[step6][seed 2] epoch 14/100  loss=0.9120  cls=0.7365  concept=1.7553  train_acc=0.9101  val_loss=1.4081  val_cls=1.2367  val_concept=1.7135  val_acc=0.6830
[step6][seed 2] epoch 15/100  loss=0.8246  cls=0.6507  concept=1.7389  train_acc=0.9286  val_loss=1.3531  val_cls=1.1854  val_concept=1.6771  val_acc=0.6741
[step6][seed 2] epoch 16/100  loss=0.7569  cls=0.5844  concept=1.7253  train_acc=0.9452  val_loss=1.3279  val_cls=1.1604  val_concept=1.6748  val_acc=0.6852
[step6][seed 2] epoch 17/100  loss=0.6863  cls=0.5155  concept=1.7076  train_acc=0.9553  val_loss=1.3168  val_cls=1.1511  val_concept=1.6578  val_acc=0.6819
[step6][seed 2] epoch 18/100  loss=0.6261  cls=0.4575  concept=1.6867  train_acc=0.9617  val_loss=1.2837  val_cls=1.1193  val_concept=1.6438  val_acc=0.6908
[step6][seed 2] epoch 19/100  loss=0.5716  cls=0.4047  concept=1.6694  train_acc=0.9737  val_loss=1.2479  val_cls=1.0859  val_concept=1.6203  val_acc=0.6919
[step6][seed 2] epoch 20/100  loss=0.5210  cls=0.3564  concept=1.6462  train_acc=0.9790  val_loss=1.2242  val_cls=1.0655  val_concept=1.5870  val_acc=0.6974
[step6][seed 2] epoch 21/100  loss=0.4857  cls=0.3234  concept=1.6230  train_acc=0.9847  val_loss=1.2393  val_cls=1.0838  val_concept=1.5555  val_acc=0.7019
[step6][seed 2] epoch 22/100  loss=0.4496  cls=0.2897  concept=1.5996  train_acc=0.9870  val_loss=1.1950  val_cls=1.0415  val_concept=1.5353  val_acc=0.7030
[step6][seed 2] epoch 23/100  loss=0.4162  cls=0.2589  concept=1.5729  train_acc=0.9918  val_loss=1.2055  val_cls=1.0549  val_concept=1.5061  val_acc=0.7052
[step6][seed 2] epoch 24/100  loss=0.3903  cls=0.2345  concept=1.5576  train_acc=0.9941  val_loss=1.1674  val_cls=1.0168  val_concept=1.5066  val_acc=0.6986
[step6][seed 2] epoch 25/100  loss=0.3641  cls=0.2108  concept=1.5328  train_acc=0.9953  val_loss=1.1976  val_cls=1.0524  val_concept=1.4521  val_acc=0.7108
[step6][seed 2] epoch 26/100  loss=0.3401  cls=0.1896  concept=1.5050  train_acc=0.9971  val_loss=1.1710  val_cls=1.0268  val_concept=1.4427  val_acc=0.7130
[step6][seed 2] epoch 27/100  loss=0.3218  cls=0.1739  concept=1.4788  train_acc=0.9965  val_loss=1.1577  val_cls=1.0162  val_concept=1.4158  val_acc=0.7041
[step6][seed 2] epoch 28/100  loss=0.3045  cls=0.1588  concept=1.4565  train_acc=0.9976  val_loss=1.1698  val_cls=1.0310  val_concept=1.3879  val_acc=0.7186
[step6][seed 2] epoch 29/100  loss=0.2862  cls=0.1429  concept=1.4334  train_acc=0.9986  val_loss=1.1476  val_cls=1.0119  val_concept=1.3569  val_acc=0.7197
[step6][seed 2] epoch 30/100  loss=0.2730  cls=0.1324  concept=1.4057  train_acc=0.9990  val_loss=1.1553  val_cls=1.0221  val_concept=1.3327  val_acc=0.7108
[step6][seed 2] epoch 31/100  loss=0.2627  cls=0.1239  concept=1.3879  train_acc=0.9994  val_loss=1.1608  val_cls=1.0284  val_concept=1.3235  val_acc=0.7075
[step6][seed 2] epoch 32/100  loss=0.2537  cls=0.1171  concept=1.3651  train_acc=0.9998  val_loss=1.1493  val_cls=1.0194  val_concept=1.2988  val_acc=0.7141
[step6][seed 2] epoch 33/100  loss=0.2457  cls=0.1111  concept=1.3460  train_acc=0.9990  val_loss=1.1499  val_cls=1.0210  val_concept=1.2888  val_acc=0.7130
[step6][seed 2] epoch 34/100  loss=0.2370  cls=0.1041  concept=1.3286  train_acc=0.9996  val_loss=1.1342  val_cls=1.0072  val_concept=1.2698  val_acc=0.7197
[step6][seed 2] epoch 35/100  loss=0.2290  cls=0.0979  concept=1.3109  train_acc=0.9996  val_loss=1.1353  val_cls=1.0094  val_concept=1.2587  val_acc=0.7141
[step6][seed 2] epoch 36/100  loss=0.2224  cls=0.0933  concept=1.2915  train_acc=0.9998  val_loss=1.1063  val_cls=0.9830  val_concept=1.2334  val_acc=0.7208
[step6][seed 2] epoch 37/100  loss=0.2161  cls=0.0887  concept=1.2743  train_acc=0.9998  val_loss=1.1204  val_cls=0.9986  val_concept=1.2178  val_acc=0.7141
[step6][seed 2] epoch 38/100  loss=0.2098  cls=0.0839  concept=1.2585  train_acc=1.0000  val_loss=1.1155  val_cls=0.9954  val_concept=1.2008  val_acc=0.7230
[step6][seed 2] epoch 39/100  loss=0.2054  cls=0.0812  concept=1.2418  train_acc=1.0000  val_loss=1.1224  val_cls=1.0052  val_concept=1.1724  val_acc=0.7186
[step6][seed 2] epoch 40/100  loss=0.2022  cls=0.0792  concept=1.2297  train_acc=1.0000  val_loss=1.1211  val_cls=1.0039  val_concept=1.1725  val_acc=0.7319
[step6][seed 2] epoch 41/100  loss=0.1973  cls=0.0758  concept=1.2158  train_acc=1.0000  val_loss=1.1324  val_cls=1.0170  val_concept=1.1539  val_acc=0.7275
[step6][seed 2] epoch 42/100  loss=0.1922  cls=0.0718  concept=1.2039  train_acc=1.0000  val_loss=1.1364  val_cls=1.0224  val_concept=1.1398  val_acc=0.7219
[step6][seed 2] epoch 43/100  loss=0.1891  cls=0.0704  concept=1.1874  train_acc=1.0000  val_loss=1.1117  val_cls=0.9991  val_concept=1.1261  val_acc=0.7164
[step6][seed 2] epoch 44/100  loss=0.1883  cls=0.0703  concept=1.1796  train_acc=0.9990  val_loss=1.1251  val_cls=1.0126  val_concept=1.1250  val_acc=0.7164
[step6][seed 2] epoch 45/100  loss=0.1842  cls=0.0674  concept=1.1682  train_acc=1.0000  val_loss=1.1327  val_cls=1.0219  val_concept=1.1085  val_acc=0.7164
[step6][seed 2] epoch 46/100  loss=0.1793  cls=0.0637  concept=1.1567  train_acc=1.0000  val_loss=1.1166  val_cls=1.0059  val_concept=1.1068  val_acc=0.7208
[step6][seed 2] epoch 47/100  loss=0.1784  cls=0.0636  concept=1.1477  train_acc=1.0000  val_loss=1.1300  val_cls=1.0207  val_concept=1.0925  val_acc=0.7130
[step6][seed 2] epoch 48/100  loss=0.1762  cls=0.0622  concept=1.1394  train_acc=1.0000  val_loss=1.1445  val_cls=1.0362  val_concept=1.0826  val_acc=0.7186
[step6][seed 2] epoch 49/100  loss=0.1738  cls=0.0609  concept=1.1292  train_acc=1.0000  val_loss=1.1121  val_cls=1.0045  val_concept=1.0764  val_acc=0.7197
[step6][seed 2] epoch 50/100  loss=0.1719  cls=0.0596  concept=1.1234  train_acc=1.0000  val_loss=1.1239  val_cls=1.0169  val_concept=1.0707  val_acc=0.7264
